2026-02-27 17:10:07,776 | INFO     | sera_agent.orchestration.agent | Agent run started: Собери план миграции проекта на Python 3.14
2026-02-27 17:10:07,782 | INFO     | sera_agent.runtime.llm_engine | Loading GGUF model: C:\Users\Xandr\Documents\models\Qwen3.5-27B-Q4_K_M.gguf
2026-02-27 17:10:09,007 | INFO     | sera_agent.runtime.llm_engine | Loading GGUF model: C:\Users\Xandr\Documents\models\Qwen3.5-27B-Q4_K_M.gguf
2026-02-27 17:31:20,308 | INFO     | sera_agent.orchestration.agent | Agent run started: Собери план миграции проекта на Python 3.14
2026-02-27 17:31:20,315 | INFO     | sera_agent.runtime.llm_engine | Loading GGUF model: C:\Users\Xandr\Documents\models\Qwen3.5-27B-Q4_K_M.gguf
2026-02-27 17:31:20,548 | ERROR    | __main__ | Agent failed to start or run: Failed to initialize llama-cpp model. Path: C:\Users\Xandr\Documents\models\Qwen3.5-27B-Q4_K_M.gguf. Python: 3.14.2. Possible causes: unsupported GGUF for installed llama-cpp, corrupted file, insufficient RAM/VRAM, or incompatible llama-cpp build (especially on Python 3.14). Try upgrading/reinstalling llama-cpp-python and testing with a smaller known-good GGUF.
2026-02-27 17:31:51,812 | INFO     | sera_agent.orchestration.agent | Agent run started: Собери план миграции проекта на Python 3.14
2026-02-27 17:31:51,830 | INFO     | sera_agent.runtime.llm_engine | Loading GGUF model: C:\Users\Xandr\Documents\models\Qwen3.5-27B-Q4_K_M.gguf
2026-02-27 17:31:52,049 | ERROR    | __main__ | Agent failed to start or run: Failed to initialize llama-cpp model. Path: C:\Users\Xandr\Documents\models\Qwen3.5-27B-Q4_K_M.gguf. Python: 3.14.2. Possible causes: unsupported GGUF for installed llama-cpp, corrupted file, insufficient RAM/VRAM, or incompatible llama-cpp build (especially on Python 3.14). Try upgrading/reinstalling llama-cpp-python and testing with a smaller known-good GGUF.
2026-02-27 17:34:25,748 | INFO     | sera_agent.orchestration.agent | Agent run started: Собери план миграции проекта на Python 3.14
2026-02-27 17:34:25,753 | INFO     | sera_agent.runtime.llm_engine | Loading GGUF model: C:\Users\Xandr\Documents\models\qwen2.5-coder-32b-instruct-q4_k_m.gguf
2026-02-27 17:34:49,176 | INFO     | sera_agent.runtime.llm_engine | Model loaded successfully
2026-02-27 17:35:47,683 | INFO     | sera_agent.orchestration.agent | Plan generated with 6 steps
2026-02-27 17:35:47,690 | INFO     | sera_agent.orchestration.agent | Executing step 1/6: shell: python3.14 --version
2026-02-27 17:36:14,831 | ERROR    | __main__ | Agent failed to start or run: Shell execution is disabled by policy
2026-02-27 17:38:29,055 | INFO     | sera_agent.orchestration.agent | Agent run started: Привет, как дела?
2026-02-27 17:38:29,062 | INFO     | sera_agent.runtime.llm_engine | Loading GGUF model: C:\Users\Xandr\Documents\models\qwen2.5-coder-32b-instruct-q4_k_m.gguf
